UUID,DateTime,GameType,PromptType,PromptVersion,GameNumber,Player1,Player2,Result,GameDuration,TotalMoves,Player1Moves,Player2Moves,Player1MovesPerWin,Player2MovesPerWin,Player1InvalidAlreadyTaken,Player2InvalidAlreadyTaken,Player1InvalidFormat,Player2InvalidFormat,Player1OutOfBounds,Player2OutOfBounds,MoveNumber,MovePlayer,MoveRow,MoveCol,MoveOutcome,CurrentStatus,Response,FinalGameState
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153200","gomoku","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",28,19,2,17,0,0,0,16,0,0,0,0,1,1,8,8,"Valid","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n","{'row':8,'column':8}","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n"
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153200","gomoku","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",28,19,2,17,0,0,0,16,0,0,0,0,2,2,8,8,"Already Taken","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n","{'row':8,'column':8}","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n"
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153200","gomoku","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",28,19,2,17,0,0,0,16,0,0,0,0,3,2,8,9,"Valid","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n","{'row':8,'column':9}","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n"
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153200","gomoku","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",28,19,2,17,0,0,0,16,0,0,0,0,4,1,8,10,"Valid","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n","{'row':8,'column':10}","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n"
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153200","gomoku","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",28,19,2,17,0,0,0,16,0,0,0,0,5,2,8,8,"Already Taken","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n","{'row':8,'column':8}","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n"
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153200","gomoku","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",28,19,2,17,0,0,0,16,0,0,0,0,6,2,8,9,"Already Taken","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n","{'row':8,'column':9}","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n"
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153200","gomoku","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",28,19,2,17,0,0,0,16,0,0,0,0,7,2,8,10,"Already Taken","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n","{'row':8,'column':10}","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n"
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153200","gomoku","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",28,19,2,17,0,0,0,16,0,0,0,0,8,2,8,8,"Already Taken","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n","{'row':8,'column':8}","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n"
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153200","gomoku","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",28,19,2,17,0,0,0,16,0,0,0,0,9,2,8,9,"Already Taken","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n","{'row':8,'column':9}","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n"
"0190183b-d3a1-7c0d-a010-de8f9775d834","240614-153200","gomoku","illustration","2024-06-12",1,"gpt-4o","gpt-4-turbo","disqualified2nd",28,19,2,17,0,0,0,16,0,0,0,0,10,2,8,10,"Already Taken","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n","{'row':8,'column':10}","eeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeBWBeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \neeeeeeeeeeeeeee \n"
